Model,Precision,Recall,F1_Score,ROC_AUC
Logistic_Regression,0.5212355212355212,0.7219251336898396,0.6053811659192825,0.828908005890103
Random_Forest,0.5755208333333334,0.5909090909090909,0.58311345646438,0.8223746415562272
XGBoost,0.5757575757575758,0.6096256684491979,0.5922077922077922,0.8168061691079593
